id,title,phone,address,rating
441,Medhurst Institute,340-470-6341,West Renatochester,9
442,The McDermott,1-712-401-8529 x67106,Raynorport,82
443,West Blick Academy,749.049.9112 x991,Benedictburgh,75
444,Lueilwitz University,439.730.9858,Port Doria,8
445,South Rau,(635) 986-2074,Connellystad,32
446,Northern Minnesota Academy,(175) 401-2586,Melainefurt,93
447,West Nader Academy,770-649-9930 x67934,Elidiatown,71
448,Schroeder College,765-880-0092,Quitzonville,13
449,East Goyette University,(399) 223-6949,Jaysonshire,84
450,Southern Bergnaum Institute,500.593.0678 x439,Abrammouth,79
451,West Pennsylvania University,1-828-707-9808 x76159,North Randychester,1
